Date,Month,Weekday,DayType,Hour,Base,Total_Trips
2014-04-01,Apr,Tue,Weekday,19,B02682,451
2014-04-01,Apr,Tue,Weekday,19,B02764,23
2014-04-01,Apr,Tue,Weekday,20,B02512,50
2014-04-01,Apr,Tue,Weekday,20,B02598,168
2014-04-01,Apr,Tue,Weekday,20,B02617,123
2014-04-01,Apr,Tue,Weekday,20,B02682,242
2014-04-01,Apr,Tue,Weekday,20,B02764,14
2014-04-01,Apr,Tue,Weekday,21,B02512,56
2014-04-01,Apr,Tue,Weekday,21,B02598,226
2014-04-01,Apr,Tue,Weekday,21,B02617,193
2014-04-01,Apr,Tue,Weekday,21,B02682,383
2014-04-01,Apr,Tue,Weekday,21,B02764,20
2014-04-01,Apr,Tue,Weekday,22,B02512,34
2014-04-01,Apr,Tue,Weekday,22,B02598,142
2014-04-01,Apr,Tue,Weekday,22,B02617,115
2014-04-01,Apr,Tue,Weekday,22,B02682,229
2014-04-01,Apr,Tue,Weekday,22,B02764,9
2014-04-01,Apr,Tue,Weekday,23,B02512,15
2014-04-01,Apr,Tue,Weekday,23,B02598,71
2014-04-01,Apr,Tue,Weekday,23,B02617,73
2014-04-01,Apr,Tue,Weekday,23,B02682,151
2014-04-01,Apr,Tue,Weekday,23,B02764,7
2014-04-02,Apr,Wed,Weekday,0,B02512,9
2014-04-02,Apr,Wed,Weekday,0,B02598,35
2014-04-02,Apr,Wed,Weekday,0,B02617,34
2014-04-02,Apr,Wed,Weekday,0,B02682,80
2014-04-02,Apr,Wed,Weekday,0,B02764,3
2014-04-02,Apr,Wed,Weekday,1,B02512,4
2014-04-02,Apr,Wed,Weekday,1,B02598,25
2014-04-02,Apr,Wed,Weekday,1,B02617,19
2014-04-02,Apr,Wed,Weekday,1,B02682,31
2014-04-02,Apr,Wed,Weekday,1,B02764,3
2014-04-02,Apr,Wed,Weekday,2,B02512,3
2014-04-02,Apr,Wed,Weekday,2,B02598,16
2014-04-02,Apr,Wed,Weekday,2,B02617,14
2014-04-02,Apr,Wed,Weekday,2,B02682,25
2014-04-02,Apr,Wed,Weekday,2,B02764,1
2014-04-02,Apr,Wed,Weekday,3,B02512,5
2014-04-02,Apr,Wed,Weekday,3,B02598,17
2014-04-02,Apr,Wed,Weekday,3,B02617,23
2014-04-02,Apr,Wed,Weekday,3,B02682,33
2014-04-02,Apr,Wed,Weekday,3,B02764,2
2014-04-02,Apr,Wed,Weekday,4,B02512,10
2014-04-02,Apr,Wed,Weekday,4,B02598,64
2014-04-02,Apr,Wed,Weekday,4,B02617,38
2014-04-02,Apr,Wed,Weekday,4,B02682,80
2014-04-02,Apr,Wed,Weekday,4,B02764,4
2014-04-02,Apr,Wed,Weekday,5,B02512,22
2014-04-02,Apr,Wed,Weekday,5,B02598,90
2014-04-02,Apr,Wed,Weekday,5,B02617,70
2014-04-02,Apr,Wed,Weekday,5,B02682,157
2014-04-02,Apr,Wed,Weekday,5,B02764,5
2014-04-02,Apr,Wed,Weekday,6,B02512,65
2014-04-02,Apr,Wed,Weekday,6,B02598,203
2014-04-02,Apr,Wed,Weekday,6,B02617,173
2014-04-02,Apr,Wed,Weekday,6,B02682,334
2014-04-02,Apr,Wed,Weekday,6,B02764,10
2014-04-02,Apr,Wed,Weekday,7,B02512,77
2014-04-02,Apr,Wed,Weekday,7,B02598,282
2014-04-02,Apr,Wed,Weekday,7,B02617,251
2014-04-02,Apr,Wed,Weekday,7,B02682,468
2014-04-02,Apr,Wed,Weekday,7,B02764,21
2014-04-02,Apr,Wed,Weekday,8,B02512,70
2014-04-02,Apr,Wed,Weekday,8,B02598,240
2014-04-02,Apr,Wed,Weekday,8,B02617,200
2014-04-02,Apr,Wed,Weekday,8,B02682,401
2014-04-02,Apr,Wed,Weekday,8,B02764,16
2014-04-02,Apr,Wed,Weekday,9,B02512,49
