Month,Base,Lat_Grid,Lon_Grid,Total_Trips
Apr,B02512,40.69,-73.83,1
Apr,B02512,40.69,-73.81,1
Apr,B02512,40.69,-73.8,1
Apr,B02512,40.69,-73.78,1
Apr,B02512,40.69,-73.76,2
Apr,B02512,40.69,-73.74,1
Apr,B02512,40.69,-73.72,2
Apr,B02512,40.7,-74.07000000000001,4
Apr,B02512,40.7,-74.02,8
Apr,B02512,40.7,-74.01,158
Apr,B02512,40.7,-74,18
Apr,B02512,40.7,-73.99,107
Apr,B02512,40.7,-73.98,32
Apr,B02512,40.7,-73.97,10
Apr,B02512,40.7,-73.96000000000001,5
Apr,B02512,40.7,-73.95,12
Apr,B02512,40.7,-73.94,14
Apr,B02512,40.7,-73.93,29
Apr,B02512,40.7,-73.92,13
Apr,B02512,40.7,-73.91,5
Apr,B02512,40.7,-73.9,2
Apr,B02512,40.7,-73.87,1
Apr,B02512,40.7,-73.86,1
Apr,B02512,40.7,-73.84,1
Apr,B02512,40.7,-73.83,2
Apr,B02512,40.7,-73.82000000000001,2
Apr,B02512,40.7,-73.81,2
Apr,B02512,40.7,-73.8,2
Apr,B02512,40.7,-73.77,1
Apr,B02512,40.7,-73.76,1
Apr,B02512,40.7,-73.72,3
Apr,B02512,40.71,-74.10000000000001,3
Apr,B02512,40.71,-74.09,4
Apr,B02512,40.71,-74.08,5
Apr,B02512,40.71,-74.07000000000001,2
Apr,B02512,40.71,-74.06,8
Apr,B02512,40.71,-74.04,41
Apr,B02512,40.71,-74.03,14
Apr,B02512,40.71,-74.02,155
Apr,B02512,40.71,-74.01,649
Apr,B02512,40.71,-74,100
Apr,B02512,40.71,-73.99,50
Apr,B02512,40.71,-73.98,23
Apr,B02512,40.71,-73.97,27
Apr,B02512,40.71,-73.96000000000001,85
Apr,B02512,40.71,-73.95,48
Apr,B02512,40.71,-73.94,37
Apr,B02512,40.71,-73.93,20
Apr,B02512,40.71,-73.92,17
Apr,B02512,40.71,-73.91,2
Apr,B02512,40.71,-73.9,1
Apr,B02512,40.71,-73.89,1
Apr,B02512,40.71,-73.88,1
Apr,B02512,40.71,-73.85000000000001,1
Apr,B02512,40.71,-73.84,3
Apr,B02512,40.71,-73.83,2
Apr,B02512,40.71,-73.82000000000001,2
Apr,B02512,40.71,-73.81,1
Apr,B02512,40.71,-73.8,2
Apr,B02512,40.71,-73.79,4
Apr,B02512,40.71,-73.75,2
Apr,B02512,40.72,-74.08,3
Apr,B02512,40.72,-74.07000000000001,4
Apr,B02512,40.72,-74.06,1
Apr,B02512,40.72,-74.05,38
Apr,B02512,40.72,-74.04,108
Apr,B02512,40.72,-74.03,80
Apr,B02512,40.72,-74.02,81
Apr,B02512,40.72,-74.01,1009
Apr,B02512,40.72,-74,1397
Apr,B02512,40.72,-73.99,583
Apr,B02512,40.72,-73.98,152
Apr,B02512,40.72,-73.97,6
Apr,B02512,40.72,-73.96000000000001,174
Apr,B02512,40.72,-73.95,49
Apr,B02512,40.72,-73.94,26
Apr,B02512,40.72,-73.92,1
Apr,B02512,40.72,-73.91,5
Apr,B02512,40.72,-73.89,3
Apr,B02512,40.72,-73.88,1
Apr,B02512,40.72,-73.87,2
Apr,B02512,40.72,-73.85000000000001,4
Apr,B02512,40.72,-73.84,8
Apr,B02512,40.72,-73.82000000000001,1
Apr,B02512,40.72,-73.81,2
Apr,B02512,40.72,-73.8,3
Apr,B02512,40.72,-73.75,1
Apr,B02512,40.72,-73.74,1
Apr,B02512,40.72,-73.73,1
Apr,B02512,40.72,-73.7,1
Apr,B02512,40.730000000000004,-74.13,1
Apr,B02512,40.730000000000004,-74.07000000000001,2
Apr,B02512,40.730000000000004,-74.06,2
Apr,B02512,40.730000000000004,-74.05,16
Apr,B02512,40.730000000000004,-74.04,30
Apr,B02512,40.730000000000004,-74.03,51
Apr,B02512,40.730000000000004,-74.01,702
Apr,B02512,40.730000000000004,-74,1435
Apr,B02512,40.730000000000004,-73.99,1081
Apr,B02512,40.730000000000004,-73.98,304
Apr,B02512,40.730000000000004,-73.97,6
Apr,B02512,40.730000000000004,-73.96000000000001,21
Apr,B02512,40.730000000000004,-73.95,17
Apr,B02512,40.730000000000004,-73.94,9
Apr,B02512,40.730000000000004,-73.92,2
Apr,B02512,40.730000000000004,-73.91,1
Apr,B02512,40.730000000000004,-73.9,1
Apr,B02512,40.730000000000004,-73.89,2
Apr,B02512,40.730000000000004,-73.87,3
Apr,B02512,40.730000000000004,-73.86,6
Apr,B02512,40.730000000000004,-73.85000000000001,2
Apr,B02512,40.730000000000004,-73.83,3
Apr,B02512,40.730000000000004,-73.82000000000001,1
Apr,B02512,40.730000000000004,-73.79,2
Apr,B02512,40.730000000000004,-73.72,1
Apr,B02512,40.74,-74.15,1
Apr,B02512,40.74,-74.09,1
Apr,B02512,40.74,-74.07000000000001,3
Apr,B02512,40.74,-74.06,3
Apr,B02512,40.74,-74.05,2
Apr,B02512,40.74,-74.04,92
Apr,B02512,40.74,-74.03,165
Apr,B02512,40.74,-74.01,983
Apr,B02512,40.74,-74,1140
Apr,B02512,40.74,-73.99,1670
Apr,B02512,40.74,-73.98,545
Apr,B02512,40.74,-73.97,80
Apr,B02512,40.74,-73.96000000000001,27
Apr,B02512,40.74,-73.95,19
Apr,B02512,40.74,-73.94,8
Apr,B02512,40.74,-73.93,8
Apr,B02512,40.74,-73.92,9
Apr,B02512,40.74,-73.91,1
Apr,B02512,40.74,-73.9,2
Apr,B02512,40.74,-73.89,3
Apr,B02512,40.74,-73.88,3
Apr,B02512,40.74,-73.87,2
Apr,B02512,40.74,-73.86,1
Apr,B02512,40.74,-73.84,1
Apr,B02512,40.74,-73.81,1
Apr,B02512,40.74,-73.8,1
Apr,B02512,40.74,-73.78,1
Apr,B02512,40.75,-74.05,1
Apr,B02512,40.75,-74.04,24
Apr,B02512,40.75,-74.03,149
Apr,B02512,40.75,-74.02,27
Apr,B02512,40.75,-74.01,311
Apr,B02512,40.75,-74,575
Apr,B02512,40.75,-73.99,1329
Apr,B02512,40.75,-73.98,1403
Apr,B02512,40.75,-73.97,578
Apr,B02512,40.75,-73.96000000000001,45
Apr,B02512,40.75,-73.95,19
Apr,B02512,40.75,-73.94,39
Apr,B02512,40.75,-73.93,15
Apr,B02512,40.75,-73.92,8
Apr,B02512,40.75,-73.91,2
Apr,B02512,40.75,-73.9,2
Apr,B02512,40.75,-73.89,4
Apr,B02512,40.75,-73.88,2
Apr,B02512,40.75,-73.86,2
Apr,B02512,40.75,-73.85000000000001,7
Apr,B02512,40.75,-73.83,2
Apr,B02512,40.75,-73.78,1
Apr,B02512,40.75,-73.77,1
Apr,B02512,40.75,-73.76,1
Apr,B02512,40.76,-74.08,1
Apr,B02512,40.76,-74.04,5
Apr,B02512,40.76,-74.03,23
Apr,B02512,40.76,-74.02,15
Apr,B02512,40.76,-74.01,1
Apr,B02512,40.76,-74,325
Apr,B02512,40.76,-73.99,1015
Apr,B02512,40.76,-73.98,2380
Apr,B02512,40.76,-73.97,2458
Apr,B02512,40.76,-73.96000000000001,334
Apr,B02512,40.76,-73.95,28
Apr,B02512,40.76,-73.94,2
Apr,B02512,40.76,-73.93,15
Apr,B02512,40.76,-73.92,17
Apr,B02512,40.76,-73.91,6
Apr,B02512,40.76,-73.9,4
Apr,B02512,40.76,-73.88,3
Apr,B02512,40.76,-73.87,4
Apr,B02512,40.76,-73.85000000000001,8
Apr,B02512,40.76,-73.84,11
Apr,B02512,40.76,-73.83,2
Apr,B02512,40.76,-73.82000000000001,2
Apr,B02512,40.76,-73.8,1
Apr,B02512,40.76,-73.77,2
Apr,B02512,40.76,-73.76,1
Apr,B02512,40.76,-73.72,1
Apr,B02512,40.76,-73.7,2
Apr,B02512,40.77,-74.13,1
Apr,B02512,40.77,-74.08,3
Apr,B02512,40.77,-74.06,2
Apr,B02512,40.77,-74.04,1
Apr,B02512,40.77,-74.03,2
Apr,B02512,40.77,-74.02,10
Apr,B02512,40.77,-74.01,3
Apr,B02512,40.77,-74,44
Apr,B02512,40.77,-73.99,386
Apr,B02512,40.77,-73.98,820
Apr,B02512,40.77,-73.97,581
Apr,B02512,40.77,-73.96000000000001,1044
Apr,B02512,40.77,-73.95,307
Apr,B02512,40.77,-73.94,13
Apr,B02512,40.77,-73.93,14
Apr,B02512,40.77,-73.92,22
Apr,B02512,40.77,-73.91,8
Apr,B02512,40.77,-73.9,6
Apr,B02512,40.77,-73.89,116
Apr,B02512,40.77,-73.88,7
Apr,B02512,40.77,-73.87,474
Apr,B02512,40.77,-73.86,251
Apr,B02512,40.77,-73.84,1
Apr,B02512,40.77,-73.83,1
Apr,B02512,40.77,-73.82000000000001,2
Apr,B02512,40.77,-73.79,2
Apr,B02512,40.77,-73.75,1
Apr,B02512,40.77,-73.73,2
Apr,B02512,40.78,-74.07000000000001,4
Apr,B02512,40.78,-74.04,1
