DateTime,Observed,Expected,Residual,Residual_Percent,Anomaly_Score,Is_Anomaly,Direction,Calibration_Start,Calibration_End,Calibration_Median,Calibration_MAD,Threshold,Model,Zero_Filled
2014-09-08T21:00:00Z,1487,1694.7285416666668,-207.72854166666684,-12.257334231379495,1.6528002815929324,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-08T22:00:00Z,1117,1322.0033750000002,-205.00337500000023,-15.507023573218957,1.63727308989569,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-08T23:00:00Z,590,749.503166666667,-159.50316666666697,-21.281186492652164,1.3780263929146528,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T00:00:00Z,312,367.8887083333335,-55.88870833333351,-15.191743336328315,0.787661929402577,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T01:00:00Z,194,187.0985833333334,6.9014166666665915,3.6886525508165287,0.42990241344556607,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T02:00:00Z,146,143.79654166666657,2.2034583333334297,1.5323444554329033,0.45666998715750684,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T03:00:00Z,242,295.9729583333334,-53.972958333333395,-18.235773510277067,0.7767465538925794,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T04:00:00Z,407,433.2086666666668,-26.208666666666772,-6.04989435422193,0.6185538516554695,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T05:00:00Z,826,786.5175833333337,39.48241666666627,5.019902606542648,0.24426553520403946,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T06:00:00Z,1443,1198.2548749999996,244.74512500000037,20.42513075525776,0.9252605196868943,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T07:00:00Z,1778,1472.1793749999997,305.8206250000003,20.773326280297898,1.273250610753481,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T08:00:00Z,1785,1746.139499999999,38.86050000000091,2.2255094738994754,0.2478090319821044,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T09:00:00Z,1330,1494.8270833333322,-164.8270833333322,-11.026498326868843,1.4083604916230346,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T10:00:00Z,1293,1244.676458333333,48.3235416666671,3.882417904117354,0.1938914262097395,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T11:00:00Z,1294,1216.4525416666677,77.54745833333232,6.374885634838179,0.02738221347869056,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T12:00:00Z,1319,1224.3207499999996,94.67925000000037,7.73320635135853,0.07022965612888712,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T13:00:00Z,1639,1377.9488750000005,261.0511249999995,18.944906428404277,1.0181672732121452,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T14:00:00Z,2028,1729.4468333333325,298.5531666666675,17.262928290847583,1.2318427878582265,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T15:00:00Z,2234,2231.0388749999997,2.9611250000002656,0.1327240431881881,0.4523530271271918,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T16:00:00Z,2237,2278.165041666666,-41.165041666666184,-1.806938519105295,0.7037708420734903,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T17:00:00Z,2616,2309.3834166666666,306.61658333333344,13.276989049133286,1.2777857453475785,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T18:00:00Z,2682,2441.592541666667,240.40745833333312,9.846338167843005,0.9005457810707546,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T19:00:00Z,2379,2355.097375,23.90262500000017,1.0149314951361692,0.333034568955406,FALSE,Higher than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T20:00:00Z,2181,2318.3437916666667,-137.34379166666668,-5.924220219639197,1.2517688440738126,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T21:00:00Z,1908,2010.0228333333343,-102.02283333333435,-5.075705193067092,1.0505204956038785,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T22:00:00Z,1427,1538.59775,-111.5977499999999,-7.253211568780723,1.1050755319570469,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-09T23:00:00Z,860,900.4005000000001,-40.40050000000008,-4.486947752694504,0.6994147103315096,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
2014-09-10T00:00:00Z,429,469.2471666666666,-40.2471666666666,-8.576965302223442,0.6985410624591178,FALSE,Lower than expected,2014-09-01T00:00:00Z,2014-09-07T23:00:00Z,82.3532916666664,118.3792291666669,3.5,Random Forest,FALSE
