Cluster_ID,Grid_Cells,Center_Lat,Center_Lon,Total_Trips,Share,Rank
1,239,40.7409730661907,-73.98207363205596,4125187,92.43855523631153,1
2,22,40.64590143069491,-73.78347500929023,107640,2.4120327358824154,2
3,23,40.768817695783916,-73.86626187940145,96701,2.16690800439024,3
0,1053,40.73026732182302,-73.90160761243595,133098,2.9825040234158093,0
