Lat,Lon,Total_Trips,Cluster_ID,Neighborhood_Trips,Is_Core,X_Km,Y_Km,Cluster_Total_Trips,Cluster_Share,Center_Lat,Center_Lon
40.58,-74.13,4,0,5,FALSE,-12.635624883104207,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-74.11,4,0,31,FALSE,-10.950874898690552,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-74.1,1,0,58,FALSE,-10.108499906483125,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-74.09,9,0,55,FALSE,-9.266124914276897,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-74.08,1,0,71,FALSE,-8.42374992206947,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-74.01,9,0,93,FALSE,-2.5271249766210806,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-74,27,0,364,FALSE,-1.6847499844136549,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.99,82,0,720,FALSE,-0.8423749922062288,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.98,174,0,1206,FALSE,0,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.97,257,0,1570,FALSE,0.842374992207426,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.96,321,0,1889,FALSE,1.684749984414852,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.95,304,0,1832,FALSE,2.5271249766210806,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.94,301,0,1455,FALSE,3.369499968828506,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.93,99,0,787,FALSE,4.211874961034735,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.92,4,0,278,FALSE,5.054249953242161,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.9,1,0,189,FALSE,6.738999937655816,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.89,6,0,190,FALSE,7.581374929863243,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.88,2,0,17,FALSE,8.42374992207067,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.86,2,0,13,FALSE,10.108499906484322,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.85,11,0,40,FALSE,10.950874898691747,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.84,27,0,58,FALSE,11.793249890897977,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.83,20,0,154,FALSE,12.635624883105404,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.82,62,0,196,FALSE,13.477999875312829,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.81,7,0,216,FALSE,14.320374867519059,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.71,1,0,93,FALSE,22.744124789589726,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.58,-73.7,2,0,57,FALSE,23.586499781795954,-18.903163639700782,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.13,1,0,22,FALSE,-12.635624883104207,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.11,12,0,61,FALSE,-10.950874898690552,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.1,14,0,113,FALSE,-10.108499906483125,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.09,18,0,115,FALSE,-9.266124914276897,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.08,12,0,151,FALSE,-8.42374992206947,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.07,31,0,109,FALSE,-7.581374929862044,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74.06,3,0,78,FALSE,-6.738999937655816,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-74,57,0,1285,FALSE,-1.6847499844136549,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.99,189,0,1716,FALSE,-0.8423749922062288,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.98,191,0,3101,FALSE,0,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.97,313,0,3379,FALSE,0.842374992207426,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.96,314,0,3785,FALSE,1.684749984414852,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.95,380,0,2798,FALSE,2.5271249766210806,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.94,212,0,2097,FALSE,3.369499968828506,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.93,159,0,1130,FALSE,4.211874961034735,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.92,12,0,432,FALSE,5.054249953242161,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.91,4,0,294,FALSE,5.896624945449588,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.9,172,0,277,FALSE,6.738999937655816,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.89,6,0,191,FALSE,7.581374929863243,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.88,3,0,17,FALSE,8.42374992207067,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.82,45,0,203,FALSE,13.477999875312829,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.81,62,0,227,FALSE,14.320374867519059,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.8,40,0,135,FALSE,15.162749859726485,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.79,19,0,77,FALSE,16.00512485193271,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.78,6,0,46,FALSE,16.84749984414014,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.77,1,0,69,FALSE,17.689874836347567,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.76,8,0,114,FALSE,18.532249828553795,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.75,7,0,174,FALSE,19.374624820761223,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.74,27,0,175,FALSE,20.216999812968645,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.73,44,0,166,FALSE,21.059374805174876,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.72,36,0,138,FALSE,21.9017497973823,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.71,44,0,104,FALSE,22.744124789589726,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.59,-73.7,10,0,57,FALSE,23.586499781795954,-17.791212837364885,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.15,1,0,11,FALSE,-14.320374867519059,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.14,2,0,32,FALSE,-13.477999875311632,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.13,9,0,59,FALSE,-12.635624883104207,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.12,6,0,85,FALSE,-11.793249890897977,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.11,14,0,102,FALSE,-10.950874898690552,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.1,10,0,134,FALSE,-10.108499906483125,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.09,31,0,158,FALSE,-9.266124914276897,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.08,19,0,201,FALSE,-8.42374992206947,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-74.07,30,0,249,FALSE,-7.581374929862044,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
