Lat_Grid,Lon_Grid,Total_Trips,Percentage
40.71,-73.83,1228,0.028
40.6,-73.97,1206,0.027
40.75,-74.04,1200,0.027
40.79,-73.93,1173,0.026
40.65,-74.01,1156,0.026
40.87,-73.92,1154,0.026
40.63,-73.96000000000001,1142,0.026
40.86,-73.89,1131,0.025
40.79,-73.92,1122,0.025
40.65,-73.95,1118,0.025
40.87,-73.93,1118,0.025
40.730000000000004,-74.05,1106,0.025
40.63,-73.97,1059,0.024
40.63,-73.95,1057,0.024
40.62,-74.02,1023,0.023
40.75,-73.9,1007,0.023
40.75,-73.88,1003,0.022
40.65,-74,983,0.022
40.7,-73.9,969,0.022
40.7,-73.81,965,0.022
40.64,-73.98,950,0.021
40.63,-74.02,939,0.021
40.800000000000004,-73.98,937,0.021
40.74,-73.88,916,0.021
40.81,-73.93,905,0.02
40.71,-73.91,843,0.019
40.730000000000004,-73.87,831,0.019
40.75,-74.02,819,0.018
40.74,-73.9,818,0.018
40.64,-73.95,804,0.018
40.76,-73.94,804,0.018
40.67,-73.8,791,0.018
40.76,-74.03,772,0.017
40.88,-73.91,768,0.017
40.82,-73.93,762,0.017
40.61,-73.96000000000001,760,0.017
40.64,-74,750,0.017
40.64,-74.02,737,0.017
40.660000000000004,-73.93,732,0.016
40.74,-73.91,706,0.016
40.72,-73.8,699,0.016
40.84,-73.95,697,0.016
40.65,-74.02,693,0.016
40.9,-73.9,692,0.016
40.71,-73.9,669,0.015
40.74,-73.89,661,0.015
40.61,-73.97,655,0.015
40.76,-73.9,644,0.014
40.71,-73.82000000000001,639,0.014
40.67,-73.92,634,0.014
40.74,-73.86,629,0.014
40.660000000000004,-73.92,626,0.014
40.730000000000004,-74.06,623,0.014
40.72,-73.86,619,0.014
40.86,-73.88,618,0.014
40.74,-73.87,609,0.014
40.62,-73.97,599,0.013
40.88,-73.88,598,0.013
40.65,-73.94,593,0.013
40.74,-74.05,581,0.013
40.64,-74.03,574,0.013
40.85,-73.89,566,0.013
40.730000000000004,-73.9,553,0.012
40.76,-73.88,549,0.012
40.76,-74.02,544,0.012
40.74,-73.85000000000001,538,0.012
40.86,-73.94,536,0.012
40.62,-73.96000000000001,534,0.012
40.63,-74.01,530,0.012
40.63,-73.94,522,0.012
40.660000000000004,-73.8,519,0.012
40.75,-73.83,510,0.011
40.800000000000004,-73.92,508,0.011
40.88,-73.9,507,0.011
40.76,-73.89,503,0.011
40.78,-73.9,487,0.011
40.65,-73.91,481,0.011
40.7,-73.83,473,0.011
40.87,-73.91,468,0.01
40.6,-73.99,464,0.01
40.62,-74.04,464,0.01
40.76,-73.77,464,0.01
40.67,-73.81,462,0.01
40.75,-73.84,462,0.01
40.61,-73.95,458,0.01
40.78,-74.01,454,0.01
40.82,-73.92,449,0.01
40.77,-74.02,442,0.01
40.67,-73.79,439,0.01
40.85,-73.85000000000001,439,0.01
40.72,-73.81,437,0.01
40.64,-73.99,435,0.01
40.68,-73.9,434,0.01
40.660000000000004,-73.91,430,0.01
40.88,-73.92,429,0.01
40.71,-73.79,426,0.01
40.87,-73.88,424,0.01
40.71,-73.85000000000001,423,0.009
40.84,-73.92,421,0.009
40.67,-73.78,420,0.009
40.72,-73.9,417,0.009
40.61,-73.98,416,0.009
40.79,-74.04,413,0.009
40.72,-73.87,408,0.009
40.730000000000004,-73.81,403,0.009
40.62,-73.95,401,0.009
40.81,-73.92,401,0.009
40.71,-73.8,396,0.009
40.72,-73.88,395,0.009
40.78,-73.93,395,0.009
40.86,-73.92,391,0.009
40.67,-73.91,385,0.009
40.59,-73.95,380,0.009
40.65,-73.93,379,0.008
40.6,-73.96000000000001,378,0.008
40.730000000000004,-73.89,378,0.008
40.61,-74,377,0.008
40.64,-74.01,377,0.008
40.730000000000004,-74.07000000000001,371,0.008
40.72,-73.79,368,0.008
40.76,-73.85000000000001,368,0.008
40.61,-74.03,366,0.008
40.76,-73.86,359,0.008
40.87,-73.9,358,0.008
40.62,-74,355,0.008
40.62,-73.92,354,0.008
40.730000000000004,-73.88,353,0.008
40.74,-73.83,353,0.008
40.82,-73.91,353,0.008
40.7,-73.89,352,0.008
40.76,-73.82000000000001,351,0.008
40.86,-73.9,350,0.008
40.77,-74.03,348,0.008
40.72,-73.91,347,0.008
40.62,-74.01,346,0.008
40.84,-73.91,346,0.008
40.64,-73.92,345,0.008
40.71,-73.84,344,0.008
40.76,-73.87,344,0.008
40.86,-73.87,343,0.008
40.63,-73.92,341,0.008
40.87,-73.89,340,0.008
40.75,-73.87,337,0.008
40.64,-73.93,332,0.007
40.72,-74.06,332,0.007
40.85,-73.86,332,0.007
40.62,-73.94,331,0.007
40.72,-73.89,329,0.007
40.79,-73.84,329,0.007
40.63,-73.98,328,0.007
