Lat_Grid,Lon_Grid,Total_Trips,Percentage
40.88,-73.97,26,0.001
40.89,-74.02,26,0.001
40.89,-74.01,26,0.001
40.89,-73.98,26,0.001
40.89,-73.94,26,0.001
40.9,-74.04,26,0.001
40.910000000000004,-73.95,26,0.001
40.61,-73.72,25,0.001
40.65,-73.85000000000001,25,0.001
40.72,-74.10000000000001,25,0.001
40.74,-73.74,25,0.001
40.800000000000004,-74.05,25,0.001
40.81,-73.88,25,0.001
40.81,-73.8,25,0.001
40.85,-73.99,25,0.001
40.86,-74.02,25,0.001
40.910000000000004,-73.96000000000001,25,0.001
40.61,-74.08,24,0.001
40.81,-74.14,24,0.001
40.88,-74.07000000000001,24,0.001
40.910000000000004,-74.04,24,0.001
40.7,-73.71000000000001,23,0.001
40.74,-73.7,23,0.001
40.79,-73.71000000000001,23,0.001
40.84,-73.78,23,0.001
40.9,-74,23,0.001
40.62,-74.09,22,0
40.68,-73.71000000000001,22,0
40.79,-73.7,22,0
40.81,-74.12,22,0
40.82,-74.14,22,0
40.84,-74.08,22,0
40.85,-73.96000000000001,22,0
40.88,-74.12,22,0
40.9,-73.77,22,0
40.92,-73.9,22,0
40.75,-73.7,21,0
40.82,-74.11,21,0
40.87,-74.02,21,0
40.89,-74.05,21,0
40.58,-73.83,20,0
40.6,-74.02,20,0
40.61,-74.07000000000001,20,0
40.62,-73.71000000000001,20,0
40.65,-73.74,20,0
40.77,-74.07000000000001,20,0
40.79,-74.08,20,0
40.83,-74.06,20,0
40.87,-73.8,20,0
40.89,-73.82000000000001,20,0
40.89,-73.81,20,0
40.910000000000004,-73.79,20,0
40.59,-73.79,19,0
40.6,-74.08,19,0
40.65,-74.08,19,0
40.69,-74.01,19,0
40.78,-74.06,19,0
40.800000000000004,-73.7,19,0
40.82,-74.15,19,0
40.82,-74.09,19,0
40.82,-73.7,19,0
40.83,-73.99,19,0
40.85,-74.04,19,0
40.86,-74.07000000000001,19,0
40.9,-73.83,19,0
40.9,-73.79,19,0
40.910000000000004,-74.05,19,0
40.910000000000004,-73.82000000000001,19,0
40.59,-74.09,18,0
40.62,-73.74,18,0
40.63,-74.09,18,0
40.65,-73.72,18,0
40.71,-74.11,18,0
40.83,-74,18,0
40.84,-74.12,18,0
40.84,-74,18,0
40.84,-73.79,18,0
40.9,-73.78,18,0
40.910000000000004,-74.10000000000001,18,0
40.62,-74.11,17,0
40.62,-74.07000000000001,17,0
40.62,-73.75,17,0
40.69,-73.89,17,0
40.7,-74.06,17,0
40.74,-73.77,17,0
40.78,-74.08,17,0
40.800000000000004,-73.72,17,0
40.81,-73.76,17,0
40.86,-73.99,17,0
40.88,-73.96000000000001,17,0
40.9,-74.03,17,0
40.92,-74.08,17,0
40.92,-73.95,17,0
40.61,-74.09,16,0
40.63,-74.10000000000001,16,0
40.660000000000004,-74.10000000000001,16,0
40.67,-73.71000000000001,16,0
40.75,-74.14,16,0
40.79,-74.14,16,0
40.800000000000004,-73.71000000000001,16,0
40.82,-74,16,0
40.84,-74.11,16,0
40.86,-74.09,16,0
40.9,-73.89,16,0
40.92,-73.81,16,0
40.61,-73.76,15,0
40.63,-74.08,15,0
40.64,-73.7,15,0
40.660000000000004,-74.13,15,0
40.77,-73.85000000000001,15,0
40.800000000000004,-74.13,15,0
40.81,-73.82000000000001,15,0
40.83,-74.13,15,0
40.83,-74.07000000000001,15,0
40.83,-73.7,15,0
40.84,-74.09,15,0
40.85,-74.08,15,0
40.87,-74.03,15,0
40.910000000000004,-74.08,15,0
40.59,-74.10000000000001,14,0
40.6,-74.11,14,0
40.61,-74.10000000000001,14,0
40.63,-73.88,14,0
40.65,-73.71000000000001,14,0
40.71,-73.7,14,0
40.77,-74.08,14,0
40.800000000000004,-74.11,14,0
40.800000000000004,-73.73,14,0
40.81,-73.83,14,0
40.81,-73.72,14,0
40.85,-74.05,14,0
40.87,-74.09,14,0
40.87,-74.04,14,0
40.9,-73.98,14,0
40.9,-73.88,14,0
40.910000000000004,-74.01,14,0
40.910000000000004,-73.8,14,0
40.6,-74.06,13,0
40.6,-73.92,13,0
40.67,-74.08,13,0
40.79,-73.99,13,0
40.79,-73.75,13,0
40.86,-74.08,13,0
40.910000000000004,-73.77,13,0
40.59,-74.11,12,0
40.59,-74.08,12,0
40.59,-73.92,12,0
40.6,-73.77,12,0
40.81,-74.09,12,0
40.82,-73.97,12,0
40.83,-73.75,12,0
40.85,-73.71000000000001,12,0
40.86,-74.13,12,0
40.87,-74.11,12,0
40.87,-74.10000000000001,12,0
40.87,-73.95,12,0
40.88,-74.09,12,0
40.88,-74,12,0
40.58,-73.85000000000001,11,0
40.6,-73.72,11,0
40.61,-74.13,11,0
40.62,-74.12,11,0
40.64,-74.07000000000001,11,0
40.65,-73.77,11,0
40.68,-73.7,11,0
40.7,-74.05,11,0
40.78,-74.14,11,0
40.79,-74.03,11,0
40.800000000000004,-73.75,11,0
40.81,-74.02,11,0
40.81,-73.71000000000001,11,0
40.81,-73.7,11,0
40.82,-74.01,11,0
40.82,-73.83,11,0
40.83,-74.05,11,0
40.85,-74.03,11,0
40.86,-74.03,11,0
40.92,-73.77,11,0
40.59,-73.7,10,0
40.6,-74.10000000000001,10,0
40.62,-73.76,10,0
40.660000000000004,-74.11,10,0
40.68,-74.09,10,0
40.730000000000004,-74.15,10,0
40.78,-73.74,10,0
40.81,-73.73,10,0
40.82,-74.06,10,0
40.82,-73.74,10,0
40.83,-74.12,10,0
40.85,-74.12,10,0
40.88,-74.03,10,0
40.89,-74.03,10,0
40.89,-73.99,10,0
40.9,-74.05,10,0
40.910000000000004,-73.97,10,0
40.58,-74.09,9,0
40.58,-74.01,9,0
40.6,-74.13,9,0
40.62,-74.14,9,0
40.65,-74.14,9,0
40.69,-73.7,9,0
40.71,-74.15,9,0
40.77,-73.76,9,0
40.78,-73.87,9,0
40.79,-73.86,9,0
40.800000000000004,-73.85000000000001,9,0
40.84,-74.10000000000001,9,0
40.86,-74.05,9,0
40.88,-74.01,9,0
40.89,-74.12,9,0
40.9,-74.06,9,0
40.9,-74.01,9,0
40.910000000000004,-74,9,0
40.92,-73.96000000000001,9,0
40.92,-73.89,9,0
40.92,-73.85000000000001,9,0
40.92,-73.78,9,0
40.59,-73.76,8,0
40.61,-73.82000000000001,8,0
40.65,-73.7,8,0
40.69,-74.08,8,0
40.730000000000004,-74.13,8,0
40.730000000000004,-74.12,8,0
40.74,-74.12,8,0
40.78,-73.89,8,0
40.800000000000004,-74.03,8,0
40.800000000000004,-73.81,8,0
40.81,-74.15,8,0
40.82,-74.13,8,0
40.82,-73.75,8,0
40.84,-73.72,8,0
40.85,-74.09,8,0
40.85,-73.95,8,0
40.87,-74.08,8,0
40.88,-74.10000000000001,8,0
40.88,-73.79,8,0
40.89,-74.07000000000001,8,0
40.89,-74,8,0
40.9,-74.09,8,0
40.910000000000004,-74.06,8,0
40.910000000000004,-73.98,8,0
40.92,-74.06,8,0
40.92,-73.82000000000001,8,0
40.58,-73.81,7,0
40.59,-73.75,7,0
40.6,-73.82000000000001,7,0
40.63,-73.7,7,0
40.65,-74.13,7,0
40.660000000000004,-74.14,7,0
40.68,-74.12,7,0
40.730000000000004,-74.11,7,0
40.75,-74.15,7,0
40.78,-73.86,7,0
40.800000000000004,-74.14,7,0
40.800000000000004,-74.12,7,0
40.82,-73.72,7,0
40.84,-74.05,7,0
40.84,-73.75,7,0
40.85,-74.13,7,0
40.86,-73.8,7,0
40.86,-73.79,7,0
40.87,-74.05,7,0
40.87,-73.99,7,0
40.88,-73.82000000000001,7,0
40.89,-73.87,7,0
40.9,-74.02,7,0
40.92,-73.88,7,0
40.58,-73.89,6,0
40.59,-73.89,6,0
40.59,-73.78,6,0
40.6,-74.12,6,0
40.62,-74.06,6,0
40.64,-74.10000000000001,6,0
40.64,-74.09,6,0
40.65,-73.75,6,0
40.72,-74.15,6,0
40.730000000000004,-74.10000000000001,6,0
40.75,-74.12,6,0
40.76,-74.15,6,0
40.78,-74.13,6,0
40.800000000000004,-74.15,6,0
40.81,-74.13,6,0
40.81,-73.74,6,0
40.82,-74.03,6,0
40.83,-74.01,6,0
40.84,-74.13,6,0
40.84,-74.02,6,0
40.84,-73.7,6,0
40.85,-73.72,6,0
40.87,-74.13,6,0
40.87,-74.07000000000001,6,0
40.88,-74.11,6,0
40.88,-74.08,6,0
40.9,-74.07000000000001,6,0
40.9,-73.99,6,0
40.910000000000004,-74.07000000000001,6,0
40.92,-73.8,6,0
40.6,-73.78,5,0
40.61,-74.15,5,0
40.61,-74.11,5,0
40.63,-74.14,5,0
40.64,-74.12,5,0
40.65,-74.12,5,0
40.67,-74.13,5,0
40.67,-73.7,5,0
40.7,-74.12,5,0
40.7,-73.7,5,0
40.72,-74.14,5,0
40.72,-74.13,5,0
40.76,-74.14,5,0
40.77,-74.14,5,0
40.79,-74.15,5,0
40.81,-74.06,5,0
40.81,-73.84,5,0
40.82,-73.73,5,0
40.84,-74.14,5,0
40.84,-74.04,5,0
40.85,-74.15,5,0
40.85,-74.11,5,0
40.86,-74.01,5,0
40.86,-73.81,5,0
40.89,-74.08,5,0
40.9,-74.12,5,0
40.9,-74.08,5,0
40.910000000000004,-74.02,5,0
40.92,-73.84,5,0
40.58,-74.13,4,0
40.58,-74.11,4,0
40.58,-73.92,4,0
40.59,-73.91,4,0
40.6,-73.8,4,0
40.62,-74.13,4,0
40.63,-74.07000000000001,4,0
40.63,-73.78,4,0
40.64,-74.15,4,0
40.64,-74.11,4,0
40.64,-73.75,4,0
40.69,-74.06,4,0
40.71,-74.14,4,0
40.730000000000004,-74.09,4,0
40.74,-74.09,4,0
40.74,-74.02,4,0
40.76,-74.11,4,0
40.77,-74.05,4,0
40.79,-74.13,4,0
40.81,-73.75,4,0
40.84,-74.01,4,0
40.84,-73.71000000000001,4,0
40.86,-74.04,4,0
40.87,-74.12,4,0
40.88,-74.02,4,0
40.89,-74.14,4,0
40.89,-74.09,4,0
40.89,-73.77,4,0
40.910000000000004,-74.12,4,0
40.910000000000004,-73.99,4,0
40.910000000000004,-73.76,4,0
40.92,-74.09,4,0
40.92,-74.03,4,0
40.92,-73.87,4,0
40.92,-73.86,4,0
40.92,-73.83,4,0
40.92,-73.75,4,0
40.59,-74.06,3,0
40.59,-73.88,3,0
40.6,-73.79,3,0
40.61,-74.14,3,0
40.62,-73.82000000000001,3,0
40.63,-73.75,3,0
40.68,-74.08,3,0
40.69,-74.14,3,0
40.69,-74.02,3,0
40.7,-74.14,3,0
40.7,-74.13,3,0
40.730000000000004,-74.02,3,0
40.74,-74.15,3,0
40.74,-74.14,3,0
40.76,-74.10000000000001,3,0
40.76,-74.06,3,0
40.800000000000004,-73.87,3,0
40.82,-74.02,3,0
40.83,-73.81,3,0
40.84,-73.73,3,0
40.85,-74.14,3,0
40.85,-73.78,3,0
40.86,-74.15,3,0
40.86,-74.14,3,0
40.86,-74.11,3,0
40.86,-74,3,0
40.86,-73.71000000000001,3,0
40.88,-74.15,3,0
40.88,-74.14,3,0
40.88,-73.8,3,0
40.89,-74.15,3,0
40.89,-74.11,3,0
40.9,-74.14,3,0
40.910000000000004,-74.14,3,0
40.910000000000004,-73.94,3,0
40.92,-74.07000000000001,3,0
40.92,-74.04,3,0
40.92,-73.97,3,0
40.58,-73.88,2,0
40.58,-73.86,2,0
40.58,-73.7,2,0
40.6,-74.14,2,0
40.6,-73.73,2,0
40.62,-74.15,2,0
40.62,-73.7,2,0
40.63,-74.15,2,0
40.63,-74.13,2,0
40.64,-74.13,2,0
40.64,-73.83,2,0
40.65,-74.07000000000001,2,0
40.65,-74.03,2,0
40.660000000000004,-74.07000000000001,2,0
40.67,-74.09,2,0
40.74,-74.11,2,0
40.75,-74.11,2,0
40.77,-74.15,2,0
40.77,-74.13,2,0
40.78,-74.15,2,0
40.800000000000004,-74.08,2,0
40.800000000000004,-73.88,2,0
40.800000000000004,-73.8,2,0
40.81,-73.79,2,0
40.82,-73.8,2,0
40.83,-74.04,2,0
40.83,-73.74,2,0
40.85,-74.10000000000001,2,0
40.86,-74.12,2,0
40.86,-74.10000000000001,2,0
40.86,-73.7,2,0
40.87,-74.14,2,0
40.87,-73.79,2,0
40.88,-74.13,2,0
40.9,-74.13,2,0
40.9,-74.11,2,0
40.9,-73.92,2,0
40.910000000000004,-74.13,2,0
40.92,-74.05,2,0
40.92,-74.01,2,0
40.92,-73.98,2,0
40.58,-74.10000000000001,1,0
40.58,-74.08,1,0
40.58,-73.9,1,0
40.58,-73.71000000000001,1,0
40.59,-74.13,1,0
40.59,-73.77,1,0
40.6,-74.15,1,0
40.6,-74.05,1,0
40.6,-74.03,1,0
40.6,-73.9,1,0
40.61,-74.05,1,0
40.62,-73.8,1,0
40.63,-74.12,1,0
40.64,-74.14,1,0
40.64,-73.84,1,0
40.65,-74.09,1,0
40.7,-74.15,1,0
40.74,-74.13,1,0
40.76,-74.09,1,0
40.77,-74.10000000000001,1,0
40.78,-74.09,1,0
40.78,-73.88,1,0
40.79,-74.10000000000001,1,0
40.79,-74.09,1,0
40.79,-73.77,1,0
40.800000000000004,-73.83,1,0
40.800000000000004,-73.79,1,0
40.82,-74.05,1,0
40.82,-73.76,1,0
40.83,-74.15,1,0
40.83,-74.02,1,0
40.87,-73.71000000000001,1,0
40.9,-74.15,1,0
40.910000000000004,-74.15,1,0
40.92,-74.15,1,0
40.92,-74.14,1,0
40.92,-74.13,1,0
40.92,-74,1,0
40.92,-73.91,1,0
40.92,-73.79,1,0
40.92,-73.76,1,0
