Model,MAE,RMSE,MAPE,R2,Train_Start,Train_End,Test_Start,Test_End,Test_Hours,Runtime_Seconds,Tuning_Seconds,Fit_Seconds,Prediction_Seconds
Seasonal naive (last week),223.32361111111112,349.19273371274176,16.28079863600746,0.8043339566043322,2014-04-08,2014-08-31,2014-09-01,2014-09-30,720,0,0,0,0
Regression tree,288.0554828918969,422.07597801378324,20.90237380681091,0.7141314767843481,2014-04-08,2014-08-31,2014-09-01,2014-09-30,720,0,0,0,0
Random Forest,156.8449427083333,225.3126992108466,12.17116776101311,0.9185377487325331,2014-04-08,2014-08-31,2014-09-01,2014-09-30,720,5.570000000000007,4.390000000000001,1.1300000000000026,0.05000000000000426
XGBoost,141.1892945607503,205.73705625832494,11.281719065686655,0.9320780555505698,2014-04-08,2014-08-31,2014-09-01,2014-09-30,720,0.6199999999999974,0.5399999999999991,0.0799999999999983,0
